symbol,entry_time,exit_time,entry_price,exit_price,qty,side,exit_reason,pnl,r_multiple,hold_minutes
PLTR,2025-10-31T10:12:00-04:00,2025-10-31T11:37:00-04:00,203.02,200.6353142857143,24,LONG,STOP_LOSS,-57.23,-1.0,85
COIN,2025-11-05T09:52:00-05:00,2025-11-05T11:05:00-05:00,314.4,316.2139741875681,957,LONG,TRAILING_STOP,1735.97,0.35,73
HOOD,2025-11-05T09:55:00-05:00,2025-11-05T15:30:00-05:00,139.26,143.31270628834042,2161,LONG,TRAILING_STOP,8757.9,1.45,335
DDOG,2025-11-06T09:52:00-05:00,2025-11-06T10:36:00-05:00,187.23,188.73142209352898,1719,LONG,TRAILING_STOP,2580.94,0.25,44
DDOG,2025-11-06T11:42:00-05:00,2025-11-06T12:08:00-05:00,189.705,187.17744228571428,1724,LONG,STOP_LOSS,-4357.51,-1.0,26
DDOG,2025-11-06T12:44:00-05:00,2025-11-06T13:46:00-05:00,187.82,188.28941323759832,1695,LONG,TRAILING_STOP,795.66,0.23,62
DDOG,2025-11-06T13:47:00-05:00,2025-11-06T13:57:00-05:00,189.0,187.4744857142857,1693,LONG,STOP_LOSS,-2582.7,-1.0,10
DDOG,2025-11-06T14:05:00-05:00,2025-11-06T14:07:00-05:00,190.015,190.48697830622393,1656,LONG,TRAILING_STOP,781.6,0.21,2
DDOG,2025-11-06T14:08:00-05:00,2025-11-06T14:31:00-05:00,191.5,192.68377420440135,1652,LONG,TRAILING_STOP,1955.59,0.49,23
DDOG,2025-11-10T10:01:00-05:00,2025-11-10T10:34:00-05:00,195.74,198.33598630739755,2,LONG,TRAILING_STOP,5.19,0.99,33
TSLA,2025-11-10T10:34:00-05:00,2025-11-10T11:22:00-05:00,445.83,447.23935095811663,1,LONG,TRAILING_STOP,1.41,0.29,48
META,2025-11-10T09:45:00-05:00,2025-11-10T15:55:00-05:00,630.84,633.82,507,LONG,EOD_CLOSE,1510.86,0.43,370
NET,2025-11-10T09:56:00-05:00,2025-11-10T15:55:00-05:00,242.78,240.49,1319,LONG,EOD_CLOSE,-3020.51,-0.39,359
COIN,2025-11-12T10:04:00-05:00,2025-11-12T10:18:00-05:00,311.43,306.6664285714286,1018,LONG,STOP_LOSS,-4849.32,-1.0,14
AMD,2025-11-12T10:42:00-05:00,2025-11-12T11:01:00-05:00,262.35,258.60211428571426,1172,LONG,STOP_LOSS,-4392.52,-1.0,19
TSLA,2025-11-19T09:59:00-05:00,2025-11-19T10:05:00-05:00,408.205,409.2578688820638,731,LONG,TRAILING_STOP,769.65,0.21,6
GOOGL,2025-11-19T10:08:00-05:00,2025-11-19T10:50:00-05:00,303.03,299.8702571428571,991,LONG,STOP_LOSS,-3131.31,-1.0,42
GOOGL,2025-11-20T09:51:00-05:00,2025-11-20T10:56:00-05:00,302.91,304.63840636964306,970,LONG,TRAILING_STOP,1676.55,0.49,65
AVGO,2025-11-20T09:52:00-05:00,2025-11-20T11:00:00-05:00,372.4113,373.25065660007016,789,LONG,TRAILING_STOP,662.25,0.15,68
NVDA,2025-11-20T09:53:00-05:00,2025-11-20T11:00:00-05:00,195.555,191.9593142857143,2,LONG,STOP_LOSS,-7.19,-1.0,67
COIN,2025-11-21T09:54:00-05:00,2025-11-21T10:20:00-05:00,244.19,237.69134285714287,1223,LONG,STOP_LOSS,-7947.86,-1.0,26
GOOGL,2025-11-21T09:51:00-05:00,2025-11-21T10:35:00-05:00,299.96,294.7542857142857,995,LONG,STOP_LOSS,-5179.69,-1.0,44
